"ID","Name","Owner","People","Open deals","Organization created","Update time","Visible to","Next activity date","Last activity date","Won deals","Lost deals","Closed deals","Total activities","Done activities","Activities to do","Email messages count","Profile picture","Address","Latitude of Address","Longitude of Address","Apartment/suite no of Address","House number of Address","Street/road name of Address","District/sublocality of Address","City/town/village/locality of Address","State/county of Address","Region of Address","Country of Address","ZIP/Postal code of Address","Full/combined address of Address","Label","Labels","Website","LinkedIn profile","Industry","Annual revenue","Number of employees","Doors"
"1110","Panasonic TP3","Bill Douglas","1","0","2017-01-03 19:48:24","2017-01-03 19:49:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1111","Curbell","Bill Douglas","1","0","2017-01-03 19:48:24","2017-01-03 19:48:47","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1112","Personal Deed Poll Services","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1113","AggieCareers.com","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1114","MDI","Bill Douglas","1","0","2017-01-03 19:48:24","2017-01-03 19:48:48","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1115","Jenni Prince","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1116","Idea Gardener Odd Moe","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:49:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1117","TRINITATIS Immobilien GmbH","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1118","Maersk Drilling, Maersk FPSOs and Maersk Supply Service","Bill Douglas","1","0","2017-01-03 19:48:24","2017-01-03 19:49:00","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1119","Venture Funding, Ltd.","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1120","US Bancorp Piper Jaffray","Bill Douglas","3","0","2017-01-03 19:48:24","2020-05-21 18:50:29","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1121","Tallgrass Tech Partners","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1122","Lewan Technology","Bill Douglas","1","0","2017-01-03 19:48:24","2017-01-03 19:49:01","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1123","Take Back Pakistan","Bill Douglas","2","0","2017-01-03 19:48:24","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1124","State of Colorado, Office of Economic Development & International Trade","Bill Douglas","0","0","2017-01-03 19:48:24","2018-09-30 19:05:12","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1125","Cadre","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:50:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1126","First Mobile Technologies","Bill Douglas","9","0","2017-01-03 19:48:25","2020-10-05 13:33:02","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1127","T&B","Bill Douglas","10","0","2017-01-03 19:48:25","2020-05-21 18:50:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1128","Fax blast J2fax","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:49","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1129","Cummins, Inc","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:31","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1130","TechAhead","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:24","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1131","BEAUTY by BUFORD","Bill Douglas","3","0","2017-01-03 19:48:25","2023-12-08 09:28:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1132","Softscape","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:16","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1133","First Recruitment","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1134","Optocap.Ltd","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:11","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1135","Evans, Lipka and Assoc.","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:50:21","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1136","Taylor Grey","Bill Douglas","6","0","2017-01-03 19:48:25","2020-05-21 18:50:08","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1137","GIGA, Inc","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:50:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1138","Safe Hiring Private Limited","Bill Douglas","1","0","2017-01-03 19:48:25","2017-01-03 19:48:53","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1139","Monitium","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1140","http://www.mytravelclub.asia/color458","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:20","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1141","MSDW","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1142","BCBR","Bill Douglas","0","0","2017-01-03 19:48:25","2018-03-09 19:01:00","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1143","Tetra Tech","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1144","U.S. Department of Housing and Urban Development","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1145","Tech in the Middle","Bill Douglas","2","0","2017-01-03 19:48:25","2020-05-21 18:49:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1146","Fruition IT","Bill Douglas","1","0","2017-01-03 19:48:26","2017-01-03 19:49:06","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1147","Foodbuy, LLC","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:48:52","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1148","Turner Coulson Specialist Immigration Lawyers","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1149","Aall Electric","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1150","JBK Associates, Inc.","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:48:51","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1151","Computer Aided Technology, Inc.","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1152","Honeywell","Bill Douglas","4","0","2017-01-03 19:48:26","2020-05-21 18:50:02","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1153","STL Technology Partners","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:50:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1154","Synnex's License Online","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1155","US Bid","Bill Douglas","0","0","2017-01-03 19:48:26","2018-09-30 19:05:12","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1156","RooSites Web Development","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1157","April International","Bill Douglas","2","0","2017-01-03 19:48:26","2020-10-05 13:32:48","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1158","Vangent, Inc.","Bill Douglas","4","0","2017-01-03 19:48:26","2020-05-21 18:50:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1159","Transwestern","Bill Douglas","3","0","2017-01-03 19:48:26","2020-05-21 18:50:22","All users","","","0","0","0","0","0","0","14","","","","","","","","","","","","","","","","","","","","","",""
"1160","Hospitality Performance Network","Bill Douglas","1","0","2017-01-03 19:48:26","2017-01-03 19:49:09","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1161","Rio Tinto","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1162","Ecrix","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1163","MyDials","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1164","Tomorrow's Rainbow","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1165","Executive Smarts, LLC","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1166","SMB Nation, Inc.","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1167","60% COLOUR-Owner","Bill Douglas","1","0","2017-01-03 19:48:26","2017-01-03 19:49:11","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1168","My Path Builder","Bill Douglas","2","0","2017-01-03 19:48:26","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1169","3M","Bill Douglas","10","0","2017-01-03 19:48:26","2020-05-21 18:50:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1170","Arbita","Bill Douglas","4","0","2017-01-03 19:48:26","2020-05-21 18:50:00","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1171","Ignovi","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1172","Poudre Valley REA","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1173","Redefy Real Estate","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:48:48","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1174","Stealthmode Partners","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:48:42","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1175","CB Richard Ellis","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1176","LSIdaho Inc","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1177","Lucy Switchgear","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1178","Focus corporation","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1179","Pason Systems","Bill Douglas","4","0","2017-01-03 19:48:27","2020-05-21 18:50:09","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1180","American Israel Public Affairs Committee (AIPAC)","Bill Douglas","1","0","2017-01-03 19:48:27","2017-01-03 19:49:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1181","EKS&H","Bill Douglas","1","0","2017-01-03 19:48:27","2023-12-08 09:28:46","All users","","","0","0","0","0","0","0","8","","","","","","","","","","","","","","","","","","","","","",""
"1182","UK RPO","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1183","Nexway","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1184","Harrison Varma Services Ltd","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1185","CollabNet, Inc.","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1186","Heckers Development Group","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:55","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1187","wiseFX Trend Traders International","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:48:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1188","DAP","Bill Douglas","1","0","2017-01-03 19:48:27","2017-01-03 19:49:06","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1189","WARN Industries","Bill Douglas","2","0","2017-01-03 19:48:27","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1190","Leading ICT company","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1191","CSC","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:07","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1192","Greenlight Australia","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1193","CyberLife Tutors","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:48:57","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1194","Westburne","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1195","Bright House Networks","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1196","American Solenoid","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:08","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1197","W.W. Grainger","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:19","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1198","Datamax Pioneer","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1199","WESCO Distribution Inc","Bill Douglas","6","0","2017-01-03 19:48:28","2020-05-21 18:50:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1200","E-Solution Marketing","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:08","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1201","Whirled Peas Catering","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1202","CAPS","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:19","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1203","Marlin Leasing","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1204","Nimble Media","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:48:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1205","Professional Client Recruitment Solutions","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:48:39","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1206","Volt Professional Search","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1207","The Bedford Consulting Group Inc.","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:10","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1208","i2 Consulting INC","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:48:48","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1209","JCPenny","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:49:10","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1210","Bozang.com","Bill Douglas","1","0","2017-01-03 19:48:28","2017-01-03 19:48:40","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1211","Comcentric Inc.","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1212","Independent Recruiting","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1213","First Vehicle Services (L&E Mobile)","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:50","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1214","Globalizit, Inc.","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1215","Maxsecure Software India Pvt Ltd","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1216","Allied Electronics Inc","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1217","Cubic Resources","Bill Douglas","4","0","2017-01-03 19:48:28","2020-05-21 18:49:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1218","Kingsley Adams UK & Offshore Banking & Finance Recruitment","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:49:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1219","Loveland Light & Power","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1220","FullContact","Bill Douglas","2","0","2017-01-03 19:48:28","2020-05-21 18:48:42","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1221","CompuCom","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1222","CitrusCode Software, Inc","Bill Douglas","2","0","2017-01-03 19:48:29","2025-02-12 21:14:58","All users","","","0","0","0","0","0","0","19","","","","","","","","","","","","","","","","","","","","","",""
"1223","DNA Discos / DNA Kids","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:20","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1224","Plug & Play Tech Center","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:18","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1225","NES Energy","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1226","Ruth Halliday Associates","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:48:42","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1227","Altruistic Ventures","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:09","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1228","Sentinel Fluid Controls","Bill Douglas","6","0","2017-01-03 19:48:29","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1229","Tech Data Corporation","Bill Douglas","4","0","2017-01-03 19:48:29","2020-05-21 18:49:49","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1230","Advantage Conferences","Bill Douglas","2","0","2017-01-03 19:48:29","2020-08-17 20:20:58","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1231","WRP Solutions","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:31","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1232","Quality Team","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1233","PSR Recruitment","Bill Douglas","8","0","2017-01-03 19:48:29","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1234","Advanced Computer Concepts","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1235","Young Living Essential Oils","Bill Douglas","1","0","2017-01-03 19:48:29","2017-01-03 19:49:10","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1236","CH2MHILL Managed Services","Bill Douglas","1","0","2017-01-03 19:48:29","2017-01-03 19:48:47","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1237","Lucas Group","Bill Douglas","3","0","2017-01-03 19:48:29","2020-05-21 18:49:22","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1238","The Jupiter Group","Bill Douglas","6","0","2017-01-03 19:48:29","2020-05-21 18:50:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1239","Impact Confections","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1240","National Senior Living Providers Network","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1241","Atmosenergy","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:24","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1242","Yoh Company","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1243","Bullseye telecom","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:48:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1244","Wealth and Riches Training, LLC.","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:30","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1245","packIQ","Bill Douglas","2","0","2017-01-03 19:48:29","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1246","Suply Depot Inc.","Bill Douglas","1","0","2017-01-03 19:48:30","2017-01-03 19:49:13","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1247","lifebridge","Bill Douglas","1","0","2017-01-03 19:48:30","2017-01-03 19:48:50","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1248","Targa Consult","Bill Douglas","2","0","2017-01-03 19:48:30","2020-05-21 18:49:44","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1249","TBN Consulting","Bill Douglas","2","0","2017-01-03 19:48:30","2020-05-21 18:49:18","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1250","Tech Data","Bill Douglas","6","0","2017-01-03 19:48:30","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1251","TJR Productions","Bill Douglas","2","0","2017-01-03 19:48:30","2020-05-21 18:49:18","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1252","Allegria! Coaching","Bill Douglas","1","0","2017-01-03 19:48:30","2023-12-08 09:28:46","All users","","","0","0","0","0","0","0","30","","","","","","","","","","","","","","","","","","","","","",""
"1253","AT&T Hosting & Application Services","Bill Douglas","2","0","2017-01-03 19:48:30","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1254","Clarion Technologies Pvt Ltd","Bill Douglas","2","0","2017-01-03 19:48:30","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"1255","Mankuta Gallagher & Associates","Bill Douglas","2","0","2017-01-03 19:48:30","2020-05-21 18:49:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
